player.jumperNumber,player.photoURL,player.player.player.playerId,player.playerJumperNumber,team,position,dateOfBirth,draftYear,heightInCm,recruitedFrom,debutYear,draftType,draftPosition,PositionCoded,ID,First.name,Surname,Games,Goals,Brownlow.Votes,name,,,
6,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027821.png,CD_I1027821,6,Melbourne,MEDIUM_DEFENDER,09/06/2005,2023,185,Lysterfield (Vic)/Eastern Ranges U18,2024,nationalDraft,7,Defender,13099,Caleb,Windsor,36,10,0,Caleb Windsor,,,
50,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1036103.png,CD_I1036103,50,Richmond,KEY_DEFENDER,08/01/2003,2024,195,Essendon (VFL),,other,16,Defender,13218,Campbell,Gray,3,0,0,Campbell Gray,,,
43,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1009197.png,CD_I1009197,43,Collingwood,KEY_DEFENDER,19/06/2001,2021,195,Collegians (Vic)/Wesley Coll (Vic)/Sandr U18/Williamstown (VFL),2024,rookieElevation,2,Defender,13097,Charlie,Dean,12,0,0,Charlie Dean,,,
29,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027656.png,CD_I1027656,29,Fremantle,MEDIUM_DEFENDER,13/02/2005,2023,182,Mount Martha Junior Football Club (Vic)/Dandenong Stingrays U18,2024,nationalDraft,35,Defender,13128,Cooper,Simpson,5,1,0,Cooper Simpson,,,
10,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1020959.png,CD_I1020959,10,Melbourne,KEY_DEFENDER,28/01/2002,2021,194,Albury (NSW)/Murray U18,2022,other,24,Defender,12996,Daniel,Turner,37,24,0,Daniel Turner,,,
2,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028495.png,CD_I1028495,2,North Melbourne,MEDIUM_DEFENDER,30/05/2006,2024,183,Koroit FNC Inc/Oakleigh U18,2025,nationalDraft,2,Defender,13187,Finn,OSullivan,22,1,0,Finn O'Sullivan,,,
48,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027311.png,CD_I1027311,48,Port Adelaide,KEY_DEFENDER,05/12/2006,2025,202,Brighton/Glenelg (SANFL)/Port Adelaide (SANFL),,other,3,Defender,13192,Harrison,Ramm,1,0,0,Harrison Ramm,,,
42,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1011437.png,CD_I1011437,42,West Coast Eagles,KEY_DEFENDER,01/10/2000,2018,200,Mazenod (WA)/Swan Districts (WAFL),2021,rookieElevation,18,Defender,12853,Harry,Edwards,55,0,0,Harry Edwards,,,
22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028526.png,CD_I1028526,22,Carlton,KEY_DEFENDER,03/05/2006,2024,197,Maribyrnong Park FC/Calder U18,,nationalDraft,40,Defender,12536,Harry,OFarrell,6,1,0,Harry O'Farrell,,,
34,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1020968.png,CD_I1020968,34,North Melbourne,MEDIUM_DEFENDER,09/01/2003,2021,187,Park Orchards (Vic)/Whitefriars College (Vic)/Northern U18,2025,fatherSon,59,Defender,13004,Jackson,Archer,26,0,0,Jackson Archer,,,
46,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1013229.png,CD_I1013229,46,Richmond,KEY_DEFENDER,14/12/2001,,196,,,,,Defender,13163,Jacob,Blight,10,3,0,Jacob Blight,,,
35,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1009029.png,CD_I1009029,35,Adelaide Crows,KEY_DEFENDER,18/07/2002,2023,192,Unley (SA)/Sturt (SANFL),2024,rookieElevation,20,Defender,13086,James,Borlase,16,1,0,James Borlase,,,
30,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1032119.png,CD_I1032119,30,GWS GIANTS,MEDIUM_DEFENDER,02/10/2005,2023,188,Launceston Football Club NTJFA (Tas)/Tasmania Devils U18,2025,nationalDraft,17,Defender,13174,James,Leake,3,1,0,James Leake,,,
42,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1018987.png,CD_I1018987,42,Essendon,MEDIUM_DEFENDER,27/07/2006,2024,177,Aberfeldie (VIC)/Calder U18,,other,,Defender,13258,Jayden,Nguyen,5,0,0,Jayden Nguyen,,,
26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023174.png,CD_I1023174,26,Melbourne,KEY_DEFENDER,14/05/2004,2022,196,South Mandurah (WA)/Peel Thunder (WAFL),2025,nationalDraft,38,Defender,13261,Jed,Adams,1,0,0,Jed Adams,,,
5,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023017.png,CD_I1023017,5,Western Bulldogs,KEY_DEFENDER,11/03/2004,2022,198,Coolbinia (WA)/East Perth (WAFL),,nationalDraft,13,Defender,13216,Jedd,Busslinger,7,0,0,Jedd Busslinger,,,
41,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1004995.png,CD_I1004995,41,Adelaide Crows,KEY_DEFENDER,31/12/1999,2018,195,Shepparton Bears (Vic)/Murray U18,2020,rookieElevation,39,Defender,12829,Jordon,Butts,85,0,0,Jordon Butts,,,
49,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1022999.png,CD_I1022999,49,Richmond,MEDIUM_DEFENDER,20/11/2004,2022,181,Melville (WA)/Wesley College (WA)/East Fremantle (WAFL),,nationalDraft,49,Defender,13149,Kaleb,Smith,12,1,0,Kaleb Smith,,,
42,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1012144.png,CD_I1012144,42,North Melbourne,KEY_DEFENDER,22/07/1998,2022,196,Williamstown CYMS (Vic)/Williamstown (VFL),2022,other,2,Defender,13018,Kallan,Dawson,19,1,0,Kallan Dawson,,,
46,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028196.png,CD_I1028196,46,Essendon,KEY_DEFENDER,09/09/1998,2025,203,Cockburn/East Fremantle (WAFL),,other,13,Defender,13237,Lachlan,Blakiston,11,1,0,Lachlan Blakiston,,,
18,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023487.png,CD_I1023487,18,Essendon,MEDIUM_DEFENDER,17/12/2004,2022,199,Lysterfield (Vic)/Rowville Secondary College (Vic)/Eastern U18,2025,nationalDraft,25,Defender,13224,Lewis,Hayes,1,0,0,Lewis Hayes,,,
45,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1035198.png,CD_I1035198,45,St Kilda,MEDIUM_DEFENDER,04/03/2003,2023,189,Ireland (County Cork/Ballincollig),2025,other,,Defender,13194,Liam,OConnell,7,0,0,Liam O'Connell,,,
36,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1015929.png,CD_I1015929,36,Western Bulldogs,MEDIUM_DEFENDER,05/03/2002,2021,191,Beaumaris (Vic)/Haileybury College (Vic)/Sandringham U18,2024,nationalDraft,61,Defender,12987,Luke,Cleary,23,2,0,Luke Cleary,,,
31,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028521.png,CD_I1028521,31,Richmond,MEDIUM_DEFENDER,10/04/2006,2024,195,St Peters FC/Sandringham U18,2025,nationalDraft,21,Defender,13191,Luke,Trainor,21,1,0,Luke Trainor,,,
35,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028547.png,CD_I1028547,35,North Melbourne,KEY_DEFENDER,16/05/2006,2024,197,Shepparton FNC/Murray U18,,nationalDraft,27,Defender,12768,Matt,Whitlock,2,1,0,Matt Whitlock,,,
32,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027964.png,CD_I1027964,32,Carlton,MEDIUM_DEFENDER,28/11/2005,2024,190,East Malvern (Vic)/Sandringham Dragons U18,2025,preseason,,Defender,13036,Matt,Carroll,17,1,0,Matt Carroll,,,
48,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1015515.png,CD_I1015515,48,Gold Coast SUNS,KEY_DEFENDER,23/07/2003,2021,198,St Kilda/Glenelg (SANFL),,nationalDraft,51,Defender,13251,Oscar,Adams,8,0,0,Oscar Adams,,,
26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1013278.png,CD_I1013278,26,Collingwood,KEY_DEFENDER,12/12/2002,2020,194,Surrey Park (Vic)/Scotch College (Vic)/Oakleigh U18,2023,nationalDraft,23,Defender,12964,Reef,McInnes,23,19,0,Reef McInnes,,,
7,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023025.png,CD_I1023025,7,West Coast Eagles,MEDIUM_DEFENDER,10/09/2004,2022,191,Dunsborough (WA)/East Perth (WAFL),2023,nationalDraft,9,Defender,13038,Reuben,Ginbey,63,2,0,Reuben Ginbey,,,
33,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1017718.png,CD_I1017718,33,West Coast Eagles,KEY_DEFENDER,17/10/2003,2021,195,South Mandurah (WA)/Guilford Gram (WA)/Swan Districts (WAFL),,nationalDraft,37,Defender,13000,Rhett,Bazzo,28,0,0,Rhett Bazzo,,,
26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1008224.png,CD_I1008224,26,Sydney Swans,MEDIUM_DEFENDER,26/09/2000,2024,186,Albury FC/Werribee (VFL),2025,nationalDraft,41,Defender,13195,Riley,Bice,16,1,0,Riley Bice,,,
17,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023625.png,CD_I1023625,17,North Melbourne,MEDIUM_DEFENDER,27/02/2005,2023,184,Caversham JFC (WA)/Swan Districts (WAFL),2025,nationalDraft,23,Defender,13130,Riley,Hardeman,20,0,0,Riley Hardeman,,,
13,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1011994.png,CD_I1011994,13,St Kilda,MEDIUM_DEFENDER,03/05/2001,2019,181,Beaumaris (Vic)/St Bede's College (Vic)/Sandringham U18,2022,nationalDraft,52,Defender,12802,Ryan,Byrnes,80,15,0,Ryan Byrnes,,,
41,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1013315.png,CD_I1013315,41,West Coast Eagles,KEY_DEFENDER,14/12/2002,2021,198,Palmerston (NT)/Peel Thunder (WAFL)/Gold Coast SUNS,,other,,Defender,13209,Sandy,Brock,14,0,0,Sandy Brock,,,
40,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1018016.png,CD_I1018016,40,Hawthorn,MEDIUM_DEFENDER,03/07/2002,2022,181,Robinvale (Vic)/Bendigo U18,2023,rookieElevation,6,Defender,13051,Seamus,Mitchell,28,0,0,Seamus Mitchell,,,
23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/294013.png,CD_I294013,23,Gold Coast SUNS,MEDIUM_DEFENDER,02/11/1994,2013,184,Salisbury (SA)/Port Adelaide (SANFL),2014,nationalDraft,27,Defender,12234,Sean,Lemmens,149,25,0,Sean Lemmens,,,
5,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028538.png,CD_I1028538,5,St Kilda,MEDIUM_DEFENDER,26/10/2006,2024,188,Sandhurst FNC/Bendigo U18,2025,nationalDraft,8,Defender,12025,Tobie,Travaglia,12,2,0,Tobie Travaglia,,,
32,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1002138.png,CD_I1002138,32,North Melbourne,KEY_DEFENDER,11/08/1998,2024,194,Tantanoola (SA)/Glenelg (SANFL),2019,rookieElevation,1,Defender,12690,Toby,Pink,32,7,0,Toby Pink,,,
30,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1017086.png,CD_I1017086,30,Richmond,MEDIUM_DEFENDER,30/07/2003,2021,193,Mooroopna (Vic)/Geelong Grammar (Vic)/Murray U18,2024,nationalDraft,17,Defender,12446,Tom,Brown,42,10,0,Tom Brown,,,
12,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1000932.png,CD_I1000932,12,Brisbane Lions,MEDIUM_DEFENDER,01/03/1997,2015,190,"St Joseph's, Geel (Vic)/St Joseph's College, Geel (Vic)/Geel U18/Adelaide Crows",2018,nationalDraft,17,Defender,12833,Tom,Doedee,83,3,0,Tom Doedee,,,
45,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1036124.png,CD_I1036124,45,West Coast Eagles,MEDIUM_DEFENDER,12/07/2000,2025,187,Richmond (VFL)/West Coast (WAFL),,other,1,Defender,12627,Tom,McCarthy,10,0,0,Tom McCarthy,,,
45,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1018433.png,CD_I1018433,45,Richmond,KEY_DEFENDER,05/09/1998,2025,196,North Albury (NSW)/Frankston (VFL)/Richmond (VFL)/Richmond,2023,other,,Defender,13043,Tylar,Young,35,0,0,Tylar Young,,,
18,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028551.png,CD_I1028551,18,North Melbourne,KEY_DEFENDER,20/12/2005,2023,200,Leongatha Junior Football Club (Vic)/Gippsland Power U18,,nationalDraft,22,Defender,13144,Wil,Dawson,8,0,0,Wil Dawson,,,
31,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1012817.png,CD_I1012817,31,Essendon,KEY_DEFENDER,02/03/2002,2020,202,Leongatha (Vic)/(Gippsland U18,2024,nationalDraft,10,Defender,12889,Zach,Reid,19,0,0,Zach Reid,,,
40,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028519.png,CD_I1028519,40,Essendon,MEDIUM_DEFENDER,24/12/2006,2024,186,St Marys GJFC/Northern U18,,nationalDraft,70,Defender,13231,Zak,Johnson,9,0,0,Zak Johnson,,,
42,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/295461.png,CD_I295461,42,Carlton,MEDIUM_DEFENDER,23/07/1994,2015,178,West Coburg (Vic)/Calder U18/Coburg (VFL)/GCS/Essendon,2015,rookieElevation,,Defender,12330,Adam,Saad,216,12,,Adam Saad,,,
4,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/294508.png,CD_I294508,4,North Melbourne,KEY_DEFENDER,17/05/1994,2012,195,Macleod (Vic)/Northern U18/GWS,2013,nationalDraft,14,Defender,12181,Aidan,Corr,172,3,,Aidan Corr,,,
25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/298409.png,CD_I298409,25,Fremantle,KEY_DEFENDER,09/06/1995,2013,201,Ulverstone (Tas)/Devonport (Tas),2018,nationalDraft,37,Defender,12352,Alex,Pearce,138,9,,Alex Pearce,,,
21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/294469.png,CD_I294469,21,Port Adelaide,KEY_DEFENDER,05/09/1994,2013,194,Aspley (Qld)/East Fremantle (WAFL)/Sydney,2014,nationalDraft,44,Defender,12433,Aliir,Aliir,178,6,,Aliir Aliir,,,
1,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/998102.png,CD_I998102,1,Essendon,MEDIUM_DEFENDER,02/06/1998,2016,180,East Brighton (Vic)/Brighton Grammar (Vic)/Sandringham U18,2017,nationalDraft,1,Defender,12491,Andrew,McGrath,180,21,,Andrew McGrath,,,
47,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023784.png,CD_I1023784,47,St Kilda,KEY_DEFENDER,09/12/2003,2022,196,Heidelberg (Vic)/Carey Grammar (Vic)/Northern U18/Carlton (VFL),2023,preseason,,Defender,13035,Anthony,Caminiti,56,38,,Anthony Caminiti,,,
41,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/998180.png,CD_I998180,41,Fremantle,MEDIUM_DEFENDER,26/02/1998,2020,190,Swanbourne (WA)/ Scotch College (WA)/Claremont (WAFL),2018,rookieElevation,22,Defender,12588,Bailey,Banfield,118,66,,Bailey Banfield,,,
31,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/996708.png,CD_I996708,31,Western Bulldogs,MEDIUM_DEFENDER,22/07/1996,2014,188,Edithvale-Aspendale (Vic)/Dandenong U18,2015,nationalDraft,45,Defender,12354,Bailey,Dale,178,87,,Bailey Dale,,,
12,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1002403.png,CD_I1002403,12,Richmond,KEY_DEFENDER,31/08/1999,2017,198,Railways Kalgoorlie (WA)/Subiaco (WAFL),2024,nationalDraft,63,Defender,12941,Ben,Miller,69,9,,Ben Miller,,,
25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1004985.png,CD_I1004985,25,Sydney Swans,MEDIUM_DEFENDER,19/10/1998,2024,187,Mitta United (Vic)/North Albury (NSW)/Murray U18/St Kilda,2018,rookieElevation,25,Defender,12671,Ben,Paton,75,4,,Ben Paton,,,
17,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/991773.png,CD_I991773,17,Collingwood,KEY_DEFENDER,20/11/1996,2014,201,East Fremantle Power (WA)/South Fremantle (WAFL)/Port Adel/Adel,2020,nationalDraft,84,Defender,12676,Billy,Frampton,74,20,,Billy Frampton,,,
15,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/993794.png,CD_I993794,15,Hawthorn,MEDIUM_DEFENDER,05/02/1997,2015,183,East Doncaster (Vic)/Eastern U18,2016,nationalDraft,44,Defender,12469,Blake,Hardwick,198,32,,Blake Hardwick,,,
32,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1017665.png,CD_I1017665,32,Gold Coast SUNS,MEDIUM_DEFENDER,25/07/2003,2021,188,Broadbeach (Qld)/All Saints Anglican School (Qld),2023,other,,Defender,13041,Bodhi,Uwland,49,1,,Bodhi Uwland,,,
37,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1002401.png,CD_I1002401,37,Brisbane Lions,MEDIUM_DEFENDER,24/07/1999,2017,188,Mt Lawley-Inglewood (WA)/Trinity Coll (WA)/East Perth (WAFL)/Brisbane,2019,nationalDraft,18,Defender,12668,Brandon,Starcevich,133,8,,Brandon Starcevich,,,
31,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1009410.png,CD_I1009410,31,Fremantle,MEDIUM_DEFENDER,17/10/2002,2020,186,Kardinya (WA)/East Fremantle (WAFL),2023,nationalDraft,50,Defender,12914,Brandon,Walker,66,2,,Brandon Walker,,,
25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1004034.png,CD_I1004034,25,Port Adelaide,KEY_DEFENDER,25/08/1998,2017,195,Imperial Murray Bridge (SA)/Sturt (SANFL)/Essendon,2020,nationalDraft,66,Defender,12757,Brandon,Zerk-Thatcher,90,0,,Brandon Zerk-Thatcher,,,
4,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/992010.png,CD_I992010,4,Collingwood,MEDIUM_DEFENDER,20/09/1996,2014,189,Hampton Rovers (Vic)/Sandringham U18,2016,nationalDraft,30,Defender,12371,Brayden,Maynard,229,25,,Brayden Maynard,,,
